News,MENTIONS,Event
4907,MENTIONS,2017_0
4951,MENTIONS,2006_8
5015,MENTIONS,2022_39
5028,MENTIONS,2002_3
5039,MENTIONS,2004_0
5039,MENTIONS,2020_19
5040,MENTIONS,2022_39
5049,MENTIONS,2022_39
5051,MENTIONS,2022_39
5055,MENTIONS,2002_12
5060,MENTIONS,2006_8
5077,MENTIONS,2005_15
5080,MENTIONS,2016_1
5085,MENTIONS,2006_8
5113,MENTIONS,2015_7
5122,MENTIONS,2017_0
5124,MENTIONS,2014_0
5124,MENTIONS,2022_5
5132,MENTIONS,2016_1
5190,MENTIONS,2022_39
5232,MENTIONS,2014_0
5232,MENTIONS,2022_5
5238,MENTIONS,2017_0
5258,MENTIONS,2008_3
5258,MENTIONS,2016_11
5266,MENTIONS,2022_5
5300,MENTIONS,2016_7
5304,MENTIONS,2022_39
5305,MENTIONS,2016_7
5308,MENTIONS,2002_12
5315,MENTIONS,2004_0
5325,MENTIONS,2017_6
5325,MENTIONS,2020_8
5340,MENTIONS,2002_3
5344,MENTIONS,2009_0
5352,MENTIONS,2014_0
5352,MENTIONS,2022_5
5433,MENTIONS,2001_6
5484,MENTIONS,2014_0
5484,MENTIONS,2022_5
5499,MENTIONS,2017_7
5500,MENTIONS,2002_10
5500,MENTIONS,2006_7
5501,MENTIONS,2016_7
5528,MENTIONS,2016_7
5533,MENTIONS,2016_11
5534,MENTIONS,2016_11
5534,MENTIONS,2017_0
5535,MENTIONS,2005_12
5535,MENTIONS,2008_4
5535,MENTIONS,2012_4
5538,MENTIONS,2008_3
5538,MENTIONS,2016_11
5549,MENTIONS,2008_3
5555,MENTIONS,2016_11
5562,MENTIONS,2005_12
5565,MENTIONS,2017_0
5585,MENTIONS,2009_0
5590,MENTIONS,2021_28
5605,MENTIONS,2009_0
5606,MENTIONS,2009_0
5610,MENTIONS,2009_0
5613,MENTIONS,2009_0
5620,MENTIONS,2001_6
5622,MENTIONS,2017_0
5623,MENTIONS,2015_6
5624,MENTIONS,2016_11
5625,MENTIONS,2018_1
5628,MENTIONS,2022_5
5629,MENTIONS,2016_7
5636,MENTIONS,2022_5
5637,MENTIONS,2016_7
5668,MENTIONS,2022_5
5672,MENTIONS,2016_11
5676,MENTIONS,2022_39
5703,MENTIONS,2022_39
5713,MENTIONS,2016_11
5713,MENTIONS,2017_0
5717,MENTIONS,2017_0
5721,MENTIONS,2016_11
5723,MENTIONS,2016_7
5725,MENTIONS,2009_0
5728,MENTIONS,2016_11
5730,MENTIONS,2017_0
5732,MENTIONS,2017_0
5746,MENTIONS,2016_7
5768,MENTIONS,2016_11
5788,MENTIONS,2018_1
5793,MENTIONS,2008_3
5793,MENTIONS,2016_11
5803,MENTIONS,2016_11
5818,MENTIONS,2008_3
5818,MENTIONS,2016_11
5818,MENTIONS,2017_0
5821,MENTIONS,2016_11
5821,MENTIONS,2017_0
5833,MENTIONS,2017_0
5834,MENTIONS,2006_8
5837,MENTIONS,2022_39
5841,MENTIONS,2016_11
5843,MENTIONS,2015_6
5843,MENTIONS,2022_5
5845,MENTIONS,2008_3
5845,MENTIONS,2017_0
5849,MENTIONS,2022_5
5853,MENTIONS,2013_8
5854,MENTIONS,2018_1
5890,MENTIONS,2022_39
5943,MENTIONS,2016_11
5957,MENTIONS,2022_5
5963,MENTIONS,2015_7
5964,MENTIONS,2022_5
5979,MENTIONS,2016_11
5980,MENTIONS,2016_11
5994,MENTIONS,2016_7
5999,MENTIONS,2017_0
6007,MENTIONS,2008_3
6007,MENTIONS,2020_29
6007,MENTIONS,2021_5
6025,MENTIONS,2009_0
6054,MENTIONS,2010_7
6058,MENTIONS,2022_39
6059,MENTIONS,2012_5
6068,MENTIONS,2016_11
6068,MENTIONS,2017_0
6084,MENTIONS,2016_11
6103,MENTIONS,2016_11
6122,MENTIONS,2008_3
6122,MENTIONS,2016_11
6122,MENTIONS,2020_29
6134,MENTIONS,2009_0
6145,MENTIONS,2016_11
6145,MENTIONS,2017_0
6158,MENTIONS,2016_11
6158,MENTIONS,2017_0
6259,MENTIONS,2009_0
6266,MENTIONS,2009_0
6276,MENTIONS,2001_0
6288,MENTIONS,2009_0
6297,MENTIONS,2022_39
6307,MENTIONS,2022_39
6322,MENTIONS,2016_7
6329,MENTIONS,2018_1
6337,MENTIONS,2008_3
6337,MENTIONS,2021_5
6350,MENTIONS,2016_7
