Company,BELONGS_TO_INDUSTRY_OF,Industry
0001022079,BELONGS_TO_INDUSTRY_OF,8071
0000882184,BELONGS_TO_INDUSTRY_OF,1531
0000313616,BELONGS_TO_INDUSTRY_OF,3823
0001915657,BELONGS_TO_INDUSTRY_OF,4610
0000029002,BELONGS_TO_INDUSTRY_OF,3674
0001744489,BELONGS_TO_INDUSTRY_OF,7990
0001001082,BELONGS_TO_INDUSTRY_OF,4841
0001089063,BELONGS_TO_INDUSTRY_OF,5940
0001308547,BELONGS_TO_INDUSTRY_OF,6794
0001297996,BELONGS_TO_INDUSTRY_OF,6798
0000935703,BELONGS_TO_INDUSTRY_OF,5331
0000027996,BELONGS_TO_INDUSTRY_OF,2780
0001599617,BELONGS_TO_INDUSTRY_OF,3533
0001582961,BELONGS_TO_INDUSTRY_OF,7370
0001516513,BELONGS_TO_INDUSTRY_OF,7371
0001261333,BELONGS_TO_INDUSTRY_OF,7372
0000868780,BELONGS_TO_INDUSTRY_OF,3714
0000029905,BELONGS_TO_INDUSTRY_OF,3530
0001751788,BELONGS_TO_INDUSTRY_OF,2821
0001286681,BELONGS_TO_INDUSTRY_OF,5140
0001298946,BELONGS_TO_INDUSTRY_OF,6798
0000940944,BELONGS_TO_INDUSTRY_OF,5812
0001042893,BELONGS_TO_INDUSTRY_OF,3533
0001773383,BELONGS_TO_INDUSTRY_OF,7372
0000936340,BELONGS_TO_INDUSTRY_OF,4911
0001842022,BELONGS_TO_INDUSTRY_OF,4922
0001326160,BELONGS_TO_INDUSTRY_OF,4931
0001562088,BELONGS_TO_INDUSTRY_OF,7372
0001819928,BELONGS_TO_INDUSTRY_OF,7370
0000927066,BELONGS_TO_INDUSTRY_OF,8090
0001029142,BELONGS_TO_INDUSTRY_OF,2834
0001090012,BELONGS_TO_INDUSTRY_OF,1311
0001688568,BELONGS_TO_INDUSTRY_OF,7374
0001093557,BELONGS_TO_INDUSTRY_OF,3841
0001020710,BELONGS_TO_INDUSTRY_OF,5084
0000067215,BELONGS_TO_INDUSTRY_OF,1623
0000712515,BELONGS_TO_INDUSTRY_OF,7372
0000703351,BELONGS_TO_INDUSTRY_OF,5812
0001065088,BELONGS_TO_INDUSTRY_OF,7389
0002015845,BELONGS_TO_INDUSTRY_OF,1531
0000031462,BELONGS_TO_INDUSTRY_OF,2840
0001084961,BELONGS_TO_INDUSTRY_OF,6153
0001047862,BELONGS_TO_INDUSTRY_OF,4931
0001029199,BELONGS_TO_INDUSTRY_OF,6099
0001411342,BELONGS_TO_INDUSTRY_OF,6500
0000033185,BELONGS_TO_INDUSTRY_OF,7320
0001050441,BELONGS_TO_INDUSTRY_OF,6022
0000049600,BELONGS_TO_INDUSTRY_OF,6798
0000785161,BELONGS_TO_INDUSTRY_OF,8060
0001379041,BELONGS_TO_INDUSTRY_OF,6331
0000827052,BELONGS_TO_INDUSTRY_OF,4911
0001001250,BELONGS_TO_INDUSTRY_OF,2844
0001600033,BELONGS_TO_INDUSTRY_OF,2844
0000104894,BELONGS_TO_INDUSTRY_OF,6798
0000895417,BELONGS_TO_INDUSTRY_OF,6798
0001156039,BELONGS_TO_INDUSTRY_OF,6324
0001872789,BELONGS_TO_INDUSTRY_OF,3841
0000105634,BELONGS_TO_INDUSTRY_OF,1731
0000915389,BELONGS_TO_INDUSTRY_OF,2821
0000032604,BELONGS_TO_INDUSTRY_OF,3600
0001420800,BELONGS_TO_INDUSTRY_OF,3842
0001463101,BELONGS_TO_INDUSTRY_OF,3674
0001632790,BELONGS_TO_INDUSTRY_OF,3690
0001289308,BELONGS_TO_INDUSTRY_OF,3690
0001125376,BELONGS_TO_INDUSTRY_OF,8051
0001101302,BELONGS_TO_INDUSTRY_OF,3089
0001529864,BELONGS_TO_INDUSTRY_OF,6141
0000821189,BELONGS_TO_INDUSTRY_OF,1311
0000006955,BELONGS_TO_INDUSTRY_OF,3590
0001352010,BELONGS_TO_INDUSTRY_OF,7371
0001096752,BELONGS_TO_INDUSTRY_OF,2844
0001045450,BELONGS_TO_INDUSTRY_OF,6798
0001728951,BELONGS_TO_INDUSTRY_OF,6798
0001333986,BELONGS_TO_INDUSTRY_OF,6411
0001101239,BELONGS_TO_INDUSTRY_OF,6798
0000906107,BELONGS_TO_INDUSTRY_OF,6798
0000033213,BELONGS_TO_INDUSTRY_OF,1311
0000072741,BELONGS_TO_INDUSTRY_OF,4911
0001877322,BELONGS_TO_INDUSTRY_OF,3569
0000866706,BELONGS_TO_INDUSTRY_OF,3669
0001590714,BELONGS_TO_INDUSTRY_OF,2890
0001448893,BELONGS_TO_INDUSTRY_OF,6351
0000920522,BELONGS_TO_INDUSTRY_OF,6798
0000896156,BELONGS_TO_INDUSTRY_OF,2511
0001551182,BELONGS_TO_INDUSTRY_OF,3590
0000065984,BELONGS_TO_INDUSTRY_OF,4911
0001370637,BELONGS_TO_INDUSTRY_OF,7389
0001360901,BELONGS_TO_INDUSTRY_OF,6282
0001711269,BELONGS_TO_INDUSTRY_OF,4931
0001559865,BELONGS_TO_INDUSTRY_OF,7374
0001099800,BELONGS_TO_INDUSTRY_OF,3842
0001069157,BELONGS_TO_INDUSTRY_OF,6022
0001109357,BELONGS_TO_INDUSTRY_OF,4931
0000939767,BELONGS_TO_INDUSTRY_OF,2836
0001297989,BELONGS_TO_INDUSTRY_OF,7389
0000918646,BELONGS_TO_INDUSTRY_OF,3241
0000746515,BELONGS_TO_INDUSTRY_OF,4731
0001324424,BELONGS_TO_INDUSTRY_OF,4700
0001495932,BELONGS_TO_INDUSTRY_OF,6531
0000851520,BELONGS_TO_INDUSTRY_OF,8742
0001289490,BELONGS_TO_INDUSTRY_OF,6798
0001078271,BELONGS_TO_INDUSTRY_OF,3576
0001710155,BELONGS_TO_INDUSTRY_OF,3851
0000876523,BELONGS_TO_INDUSTRY_OF,5900
0000037996,BELONGS_TO_INDUSTRY_OF,3711
0001472787,BELONGS_TO_INDUSTRY_OF,6361
0001539838,BELONGS_TO_INDUSTRY_OF,1311
0000815556,BELONGS_TO_INDUSTRY_OF,5200
